pet_id,pet_name,source_object_id,primary_enchant,eligible_enchant_count,eligible_enchants,classification_reason
pal_030,花刺蛛,bz_van_030,Shielded,13,"Shielded, Heavy, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/水、地；来源标签 aquatic, property, shield, value, economyreference"
pal_031,青背鲵,bz_van_031,Icy,13,"Icy, Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/水、雷；来源标签 property, aquatic, crit"
pal_032,石甲鲮,bz_van_032,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 tech, crit, charge"
pal_033,芭蕉熊,bz_van_033,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 weapon, damage, critreference"
pal_034,蜜纹獾,bz_van_034,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, tech, damage, critreference"
pal_035,藤巢蜂,bz_van_035,Turbo,13,"Turbo, Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny","控制/水、雷；来源标签 aquatic, property"
pal_036,云纹巨驼,bz_van_036,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火、水；来源标签 friend, aquatic, burn, slowreference"
pal_037,月角白鹿,bz_van_037,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草；来源标签 weapon, tech, damage, slow, poison"
pal_038,疾风苍鹰,bz_van_038,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 apparel, charge"
pal_039,银背巨兔,bz_van_039,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 aquatic, tool, apparel, haste, ammo"
pal_040,炎角黑羊,bz_van_040,Turbo,13,"Turbo, Heavy, Shielded, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic","坦克/水、雷；来源标签 aquatic, tool, apparel, shield, charge"
pal_041,回春彩蝶,bz_van_041,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水；来源标签 tool, aquatic, slow"
pal_042,赤焰蛮牛,bz_van_042,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_043,泥甲巨鲶,bz_van_043,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水、雷；来源标签 aquatic, weapon, friend, damage, slow"
pal_044,夜羽巨鸦,bz_van_044,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火、冰；来源标签 aquatic, tech, trap, burn, poison, freeze, ammo"
pal_045,墨鳞巨蜥,bz_van_045,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、龙；来源标签 aquatic, relic, damagereference, cooldown"
pal_046,月镰螳螂,bz_van_046,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水；来源标签 aquatic, tool, slow, economyreference"
pal_047,裂空苍鹰,bz_van_047,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水；来源标签 aquatic, tool, haste"
pal_048,木刺豪猪,bz_van_048,Deadly,13,"Deadly, Radiant, Mossy, Shielded, Fiery, Golden, Heavy, Icy, Obsidian, Restorative, Shiny, Toxic, Turbo","召唤/水、雷；来源标签 aquatic, vehicle, weapon, damage, ammoreference"
pal_049,铁臂黑猿,bz_van_049,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、龙；来源标签 aquatic, friend, weapon, haste, flying"
pal_050,金甲蜂群,bz_van_050,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_051,百花巨蜂,bz_van_051,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/暗；来源标签 weapon, tool, damage, slow"
pal_052,笑面山猫,bz_van_052,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_053,霜尾雪貂,bz_van_053,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/无；来源标签 weapon, damage"
pal_054,白眉雪猿,bz_van_054,Obsidian,13,"Obsidian, Icy, Toxic, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水、雷；来源标签 aquatic, ammo"
pal_055,寒风幼螭,bz_van_055,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/火；来源标签 apparel, haste"
pal_056,震角雷牛,bz_van_056,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/无；来源标签 tool, damagereference"
pal_057,吹雪银狐,bz_van_057,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/冰；来源标签 weapon, tool, damage, freeze"
pal_058,丹角火麟,bz_van_058,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/冰、水；来源标签 aquatic, property, freeze"
pal_059,冰角白鹿,bz_van_059,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水、龙；来源标签 aquatic, friend, ray, slow"
pal_060,霹雳战獒,bz_van_060,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo",输出/火；来源标签 burn
pal_061,苍焰赤豺,bz_van_061,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 apparel, tech, crit, slow"
pal_062,雷纹巨猿,bz_van_062,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 weapon, damage, ammo, haste"
pal_063,蜃雾白鹿,bz_van_063,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、水；来源标签 aquatic, friend, poison, haste"
pal_064,翠冠花螭,bz_van_064,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷、龙；来源标签 weapon, vehicle, damage, flying"
pal_065,霆角龙犀,bz_van_065,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/暗；来源标签 weapon, damage, slow"
pal_066,浪鳞水蛇,bz_van_066,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/地；来源标签 weapon, damage"
pal_067,沙鳞巨蟒,bz_van_067,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷、龙；来源标签 apparel, relic, crit"
pal_068,食梦黑貘,bz_van_068,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 weapon, tech, damage, critreference, slowreference"
pal_069,碎岩巨龟,bz_van_069,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/龙；来源标签 weapon, relic, damage"
pal_070,猫翼夜蝠,bz_van_070,Restorative,13,"Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/水、地；来源标签 aquatic, shield, heal"
pal_071,甘露壁虎,bz_van_071,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火；来源标签 tool, burn"
pal_072,赤巢火蚁,bz_van_072,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火、水；来源标签 property, aquatic, burn, slow"
pal_073,烽翼火龙,bz_van_073,Golden,13,"Golden, Shiny, Radiant, Deadly, Fiery, Heavy, Icy, Mossy, Obsidian, Restorative, Shielded, Toxic, Turbo","经济/龙；来源标签 relic, economyreference, value, damagereference"
pal_074,霜翼冥龙,bz_van_074,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火、水；来源标签 aquatic, weapon, friend, damage, burn, slowreference, ammo"
pal_075,赤刃螳螂,bz_van_075,Deadly,13,"Deadly, Turbo, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 aquatic, friend, weapon, crit, flying"
pal_076,迅雷金雕,bz_van_076,Icy,13,"Icy, Heavy, Shielded, Mossy, Deadly, Fiery, Golden, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/水、地；来源标签 friend, aquatic, shield, hastereference, slowreference"
pal_077,燧火黑乌,bz_van_077,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火、雷；来源标签 weapon, damage, ammo, burnreference"
pal_078,幽泉灵猫,bz_van_078,Deadly,13,"Deadly, Radiant, Mossy, Shielded, Fiery, Golden, Heavy, Icy, Obsidian, Restorative, Shiny, Toxic, Turbo","召唤/水、龙；来源标签 aquatic, weapon, friend, damage"
pal_079,焰尾山狐,bz_van_079,Shielded,13,"Shielded, Heavy, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/雷、地；来源标签 toy, shield, ammo"
pal_080,踏春白兔,bz_van_080,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水、龙；来源标签 aquatic, friend, weapon, damage, hastereference, slowreference"
pal_081,药香花鹿,bz_van_081,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火、雷；来源标签 apparel, tech, burn, critreference"
pal_082,冰丝巨蛾,bz_van_082,Golden,13,"Golden, Shiny, Radiant, Deadly, Fiery, Heavy, Icy, Mossy, Obsidian, Restorative, Shielded, Toxic, Turbo","经济/龙；来源标签 friend, damagereference, economyreference"
pal_083,云鳞幼螭,bz_van_083,Turbo,13,"Turbo, Heavy, Shielded, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic","坦克/水、雷；来源标签 aquatic, shield"
pal_084,沧浪青蛟,bz_van_084,Fiery,13,"Fiery, Turbo, Deadly, Shiny, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/火、龙；来源标签 friend, burn, flying"
pal_085,涌泉水獭,bz_van_085,Deadly,13,"Deadly, Radiant, Mossy, Shielded, Fiery, Golden, Heavy, Icy, Obsidian, Restorative, Shiny, Toxic, Turbo","召唤/雷、地；来源标签 weapon, friend, toy, damage, crit"
pal_086,赤炎狻猊,bz_van_086,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic",机动/龙；来源标签 haste
pal_087,碧海青蛟,bz_van_087,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/草、水；来源标签 aquatic, weapon, friend, damage, charge"
pal_088,冰棘豪猪,bz_van_088,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_089,狱火凶獒,bz_van_089,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火、雷；来源标签 toy, burn, ammo"
pal_090,三首火犬,bz_van_090,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 property, aquatic, ammoreference, charge"
pal_091,覆水龙龟,bz_van_091,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 tool, ammoreference"
pal_092,雷泽青蛟,bz_van_092,Fiery,13,"Fiery, Restorative, Mossy, Radiant, Deadly, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/火、水；来源标签 weapon, damage, burnreference"
pal_093,连理双鹿,bz_van_093,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、水；来源标签 aquatic, friend, poison, hastereference"
pal_094,海棠水鹿,bz_van_094,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 tool, ammoreference, crit"
pal_095,百花灵鹿,bz_van_095,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_096,熔岩巨兽,bz_van_096,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_097,寒岩巨兽,bz_van_097,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_098,云顶巨驼,bz_van_098,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 aquatic, vehicle, charge, cooldown"
pal_099,冰峰巨驼,bz_van_099,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、水；来源标签 weapon, relic, aquatic, damage, poison, crit, hastereference"
pal_100,青林巨象,bz_van_100,Shielded,13,"Shielded, Heavy, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/水、地；来源标签 aquatic, shield"
pal_101,白牙雪象,bz_van_101,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水、龙；来源标签 aquatic, property, haste, slow"
pal_102,白绒雪猿,bz_van_102,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/暗、龙；来源标签 friend, vehicle, cooldown"
pal_103,绿苔巨猿,bz_van_103,Restorative,13,"Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/水；来源标签 aquatic, heal"
pal_104,铁甲巨兕,bz_van_104,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 aquatic, tool, crit, haste"
pal_105,云海白鹿,bz_van_105,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/水；来源标签 aquatic, weapon, damage"
pal_106,夜幕巨蝠,bz_van_106,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、水；来源标签 aquatic, weapon, friend, ray, damage, hastereference, poisonreference"
pal_107,天羽云螭,bz_van_107,Radiant,13,"Radiant, Mossy, Shielded, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Restorative, Shiny, Toxic, Turbo","召唤/水、龙；来源标签 aquatic, vehicle, property, relic"
pal_108,焰羽赤雕,bz_van_108,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, apparel, damage, crit"
pal_109,冥羽黑乌,bz_van_109,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 ammo, haste, slow"
pal_110,渊鳞黑蛟,bz_van_110,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, tool, damage"
pal_111,毒甲蝎将,bz_van_111,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_112,石猿战将,bz_van_112,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火、冰；来源标签 friend, aquatic, weapon, relic, poisonreference, freezereference, burnreference, damage"
pal_113,覆海蛟王,bz_van_113,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/水；来源标签 weapon, damage"
pal_114,赤焰龙君,bz_van_114,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 tool, crit, cooldown, slowreference"
pal_115,南明朱雀,bz_van_115,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷、龙；来源标签 tool, relic, cooldown, crit"
pal_116,净瓶青鸾,bz_van_116,Deadly,13,"Deadly, Turbo, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/龙；来源标签 vehicle, tech, flying"
pal_117,九霄熊王,bz_van_117,Icy,13,"Icy, Heavy, Shielded, Mossy, Deadly, Fiery, Golden, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/冰、水；来源标签 aquatic, weapon, vehicle, tech, damage, shield"
