item_id,name_zh,tags,slot_width,availability,base_quality,quality,buy_price,sell_price,activation_mode,cooldown_ticks,crit_chance_bps,ammo_enabled,ammo_initial,ammo_maximum,item_skill_id,starter_instance_id,starter_location,starter_start_slot,catalog_status
item_saltwind_capstan,盐风绞盘,"tool, vehicle",2,run_acquirable,bronze,silver,7,3,cooldown,6,0,false,0,0,skill_saltwind_capstan,,,,formal
item_saltwind_capstan,盐风绞盘,"tool, vehicle",2,run_acquirable,bronze,gold,10,5,cooldown,5,0,false,0,0,skill_saltwind_capstan,,,,formal
item_saltwind_capstan,盐风绞盘,"tool, vehicle",2,run_acquirable,bronze,diamond,14,7,cooldown,4,0,false,0,0,skill_saltwind_capstan,,,,formal
item_tidefin_launcher,潮鳍投筒,"ammo, aquatic",1,run_acquirable,bronze,bronze,3,1,cooldown,5,0,true,1,2,skill_tidefin_launcher,,,,formal
item_tidefin_launcher,潮鳍投筒,"ammo, aquatic",1,run_acquirable,bronze,silver,5,2,cooldown,4,0,true,2,3,skill_tidefin_launcher,,,,formal
item_tidefin_launcher,潮鳍投筒,"ammo, aquatic",1,run_acquirable,bronze,gold,8,4,cooldown,3,0,true,2,4,skill_tidefin_launcher,,,,formal
item_tidefin_launcher,潮鳍投筒,"ammo, aquatic",1,run_acquirable,bronze,diamond,12,6,cooldown,2,0,true,3,5,skill_tidefin_launcher,,,,formal
item_mistkelp_remedy_kit,雾藻疗匣,"aquatic, tool",1,run_acquirable,bronze,bronze,4,2,cooldown,7,0,false,0,0,skill_mistkelp_remedy_kit,,,,formal
item_mistkelp_remedy_kit,雾藻疗匣,"aquatic, tool",1,run_acquirable,bronze,silver,7,3,cooldown,6,0,false,0,0,skill_mistkelp_remedy_kit,,,,formal
item_mistkelp_remedy_kit,雾藻疗匣,"aquatic, tool",1,run_acquirable,bronze,gold,10,5,cooldown,5,0,false,0,0,skill_mistkelp_remedy_kit,,,,formal
item_mistkelp_remedy_kit,雾藻疗匣,"aquatic, tool",1,run_acquirable,bronze,diamond,14,7,cooldown,4,0,false,0,0,skill_mistkelp_remedy_kit,,,,formal
item_tidefold_bulwark,叠潮护舷,"relic, vehicle",2,run_acquirable,bronze,bronze,5,2,cooldown,7,0,false,0,0,skill_tidefold_bulwark,,,,formal
item_tidefold_bulwark,叠潮护舷,"relic, vehicle",2,run_acquirable,bronze,silver,8,4,cooldown,6,0,false,0,0,skill_tidefold_bulwark,,,,formal
item_tidefold_bulwark,叠潮护舷,"relic, vehicle",2,run_acquirable,bronze,gold,12,6,cooldown,5,0,false,0,0,skill_tidefold_bulwark,,,,formal
item_tidefold_bulwark,叠潮护舷,"relic, vehicle",2,run_acquirable,bronze,diamond,17,8,cooldown,4,0,false,0,0,skill_tidefold_bulwark,,,,formal
item_homeglow_beacon,归辉航标,"relic, tool",2,run_acquirable,bronze,bronze,6,3,cooldown,8,0,false,0,0,skill_homeglow_beacon,,,,formal
item_homeglow_beacon,归辉航标,"relic, tool",2,run_acquirable,bronze,silver,9,4,cooldown,7,0,false,0,0,skill_homeglow_beacon,,,,formal
item_homeglow_beacon,归辉航标,"relic, tool",2,run_acquirable,bronze,gold,14,7,cooldown,6,0,false,0,0,skill_homeglow_beacon,,,,formal
item_homeglow_beacon,归辉航标,"relic, tool",2,run_acquirable,bronze,diamond,19,9,cooldown,5,0,false,0,0,skill_homeglow_beacon,,,,formal
item_tidescar_matchlock,潮痕火绳枪,"tool, weapon",2,run_acquirable,bronze,bronze,5,2,cooldown,7,0,false,0,0,skill_tidescar_matchlock,,,,formal
item_tidescar_matchlock,潮痕火绳枪,"tool, weapon",2,run_acquirable,bronze,silver,8,4,cooldown,6,0,false,0,0,skill_tidescar_matchlock,,,,formal
item_tidescar_matchlock,潮痕火绳枪,"tool, weapon",2,run_acquirable,bronze,gold,12,6,cooldown,5,0,false,0,0,skill_tidescar_matchlock,,,,formal
item_tidescar_matchlock,潮痕火绳枪,"tool, weapon",2,run_acquirable,bronze,diamond,17,8,cooldown,4,0,false,0,0,skill_tidescar_matchlock,,,,formal
item_mistline_ratchet,雾索棘轮,"tool, weapon",1,run_acquirable,bronze,bronze,4,2,cooldown,7,0,false,0,0,skill_mistline_ratchet,,,,formal
item_mistline_ratchet,雾索棘轮,"tool, weapon",1,run_acquirable,bronze,silver,7,3,cooldown,6,0,false,0,0,skill_mistline_ratchet,,,,formal
item_mistline_ratchet,雾索棘轮,"tool, weapon",1,run_acquirable,bronze,gold,11,5,cooldown,5,0,false,0,0,skill_mistline_ratchet,,,,formal
item_mistline_ratchet,雾索棘轮,"tool, weapon",1,run_acquirable,bronze,diamond,16,8,cooldown,4,0,false,0,0,skill_mistline_ratchet,,,,formal
item_quadrant_linkage,四缆联动轮,"tool, vehicle",2,run_acquirable,bronze,bronze,5,2,cooldown,8,0,false,0,0,skill_quadrant_linkage,,,,formal
item_quadrant_linkage,四缆联动轮,"tool, vehicle",2,run_acquirable,bronze,silver,8,4,cooldown,7,0,false,0,0,skill_quadrant_linkage,,,,formal
item_quadrant_linkage,四缆联动轮,"tool, vehicle",2,run_acquirable,bronze,gold,12,6,cooldown,6,0,false,0,0,skill_quadrant_linkage,,,,formal
item_quadrant_linkage,四缆联动轮,"tool, vehicle",2,run_acquirable,bronze,diamond,17,8,cooldown,5,0,false,0,0,skill_quadrant_linkage,,,,formal
item_followwake_calibrator,继航校炮仪,"relic, tool",1,run_acquirable,bronze,bronze,4,2,cooldown,9,0,false,0,0,skill_followwake_calibrator,,,,formal
item_followwake_calibrator,继航校炮仪,"relic, tool",1,run_acquirable,bronze,silver,7,3,cooldown,8,0,false,0,0,skill_followwake_calibrator,,,,formal
item_followwake_calibrator,继航校炮仪,"relic, tool",1,run_acquirable,bronze,gold,11,5,cooldown,7,0,false,0,0,skill_followwake_calibrator,,,,formal
item_followwake_calibrator,继航校炮仪,"relic, tool",1,run_acquirable,bronze,diamond,16,8,cooldown,6,0,false,0,0,skill_followwake_calibrator,,,,formal
item_dawntide_timer,晨潮校时器,"relic, tool",1,run_acquirable,bronze,bronze,4,2,cooldown,9,0,false,0,0,skill_dawntide_timer,,,,formal
item_dawntide_timer,晨潮校时器,"relic, tool",1,run_acquirable,bronze,silver,7,3,cooldown,8,0,false,0,0,skill_dawntide_timer,,,,formal
item_dawntide_timer,晨潮校时器,"relic, tool",1,run_acquirable,bronze,gold,11,5,cooldown,7,0,false,0,0,skill_dawntide_timer,,,,formal
item_dawntide_timer,晨潮校时器,"relic, tool",1,run_acquirable,bronze,diamond,16,8,cooldown,6,0,false,0,0,skill_dawntide_timer,,,,formal
item_broadside_signal_relay,齐射传令台,"relic, tool",2,run_acquirable,bronze,bronze,4,2,cooldown,9,0,false,0,0,skill_broadside_signal_relay,,,,formal
item_broadside_signal_relay,齐射传令台,"relic, tool",2,run_acquirable,bronze,silver,7,3,cooldown,8,0,false,0,0,skill_broadside_signal_relay,,,,formal
item_broadside_signal_relay,齐射传令台,"relic, tool",2,run_acquirable,bronze,gold,11,5,cooldown,7,0,false,0,0,skill_broadside_signal_relay,,,,formal
item_broadside_signal_relay,齐射传令台,"relic, tool",2,run_acquirable,bronze,diamond,16,8,cooldown,6,0,false,0,0,skill_broadside_signal_relay,,,,formal
item_crosswind_selector,侧风择发器,"tool, weapon",1,run_acquirable,bronze,bronze,2,1,cooldown,8,0,false,0,0,skill_crosswind_selector,,,,formal
item_crosswind_selector,侧风择发器,"tool, weapon",1,run_acquirable,bronze,silver,5,2,cooldown,7,0,false,0,0,skill_crosswind_selector,,,,formal
item_crosswind_selector,侧风择发器,"tool, weapon",1,run_acquirable,bronze,gold,9,4,cooldown,6,0,false,0,0,skill_crosswind_selector,,,,formal
item_crosswind_selector,侧风择发器,"tool, weapon",1,run_acquirable,bronze,diamond,14,7,cooldown,5,0,false,0,0,skill_crosswind_selector,,,,formal
item_tideglass_sidearm,潮镜短铳,"tool, weapon",1,run_acquirable,bronze,bronze,4,2,cooldown,5,2500,false,0,0,skill_tideglass_sidearm,,,,formal
item_tideglass_sidearm,潮镜短铳,"tool, weapon",1,run_acquirable,bronze,silver,7,3,cooldown,4,4000,false,0,0,skill_tideglass_sidearm,,,,formal
item_tideglass_sidearm,潮镜短铳,"tool, weapon",1,run_acquirable,bronze,gold,11,5,cooldown,3,5500,false,0,0,skill_tideglass_sidearm,,,,formal
item_tideglass_sidearm,潮镜短铳,"tool, weapon",1,run_acquirable,bronze,diamond,16,8,cooldown,2,7000,false,0,0,skill_tideglass_sidearm,,,,formal
item_emberwake_lantern,烬航灯,"burn, relic, tool",1,run_acquirable,bronze,bronze,3,1,cooldown,9,0,false,0,0,skill_emberwake_lantern,,,,formal
item_emberwake_lantern,烬航灯,"burn, relic, tool",1,run_acquirable,bronze,silver,5,2,cooldown,8,0,false,0,0,skill_emberwake_lantern,,,,formal
item_emberwake_lantern,烬航灯,"burn, relic, tool",1,run_acquirable,bronze,gold,8,4,cooldown,7,0,false,0,0,skill_emberwake_lantern,,,,formal
item_emberwake_lantern,烬航灯,"burn, relic, tool",1,run_acquirable,bronze,diamond,12,6,cooldown,6,0,false,0,0,skill_emberwake_lantern,,,,formal
item_inkwake_doser,墨航滴液器,"poison, relic, tool",1,run_acquirable,bronze,bronze,2,1,cooldown,10,0,false,0,0,skill_inkwake_doser,,,,formal
item_inkwake_doser,墨航滴液器,"poison, relic, tool",1,run_acquirable,bronze,silver,4,2,cooldown,9,0,false,0,0,skill_inkwake_doser,,,,formal
item_inkwake_doser,墨航滴液器,"poison, relic, tool",1,run_acquirable,bronze,gold,7,3,cooldown,8,0,false,0,0,skill_inkwake_doser,,,,formal
item_inkwake_doser,墨航滴液器,"poison, relic, tool",1,run_acquirable,bronze,diamond,11,5,cooldown,7,0,false,0,0,skill_inkwake_doser,,,,formal
item_bazaar_water_wheel,水车,aquatic,3,reference_battle_only,silver,silver,,,cooldown,160,0,false,0,0,"skill_bazaar_water_wheel_haste,skill_bazaar_water_wheel_charge",,,,formal
item_bazaar_water_wheel,水车,aquatic,3,reference_battle_only,silver,gold,,,cooldown,140,0,false,0,0,"skill_bazaar_water_wheel_haste,skill_bazaar_water_wheel_charge",,,,formal
item_bazaar_water_wheel,水车,aquatic,3,reference_battle_only,silver,diamond,,,cooldown,120,0,false,0,0,"skill_bazaar_water_wheel_haste,skill_bazaar_water_wheel_charge",,,,formal
