宠物ID,名称(自动),元素(自动),定位(自动),形状ID,形状名,形状分类,命中格数,方向,槽数,槽1元素,槽2元素,槽3元素,基础层数,行动类型,技能,机制ID,机制名(自动),接入状态,备注
pal_015,啼卡尔,暗,坦克,15,形状15,三格形状,3,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧连续三格。
pal_016,壶小象,水,治疗,16,形状16,三格形状,3,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点竖三格。
pal_017,瞅什魔,暗,坦克,17,形状17,三格形状,3,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_firm_threshold,无机制,正式,新19形状；所有作用格默认结算3次。三格，上下夹身加右侧相邻。
pal_018,米露菲,无,经济,18,形状18,三格形状,3,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。三格，右上小角。
pal_019,寐魔,暗,坦克,19,形状19,三格形状,3,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_grow_shield,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点右上小角。
pal_020,草莽猪,地,坦克,05,形状05,二格形状,2,默认向右,3,地,地,地,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_021,露娜蒂,暗,坦克,06,形状06,二格形状,2,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_022,遁地鼠,地,坦克,07,形状07,二格形状,2,默认向右,3,地,地,地,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右隔点。
pal_023,勾魂鱿,暗,坦克,08,形状08,二格形状,2,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_regen,回合回盾,正式,新19形状；所有作用格默认结算3次。二格，右侧远端连续两格。
pal_024,喵丝特,暗,经济,09,形状09,二格形状,2,默认向右,3,暗,暗,暗,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_025,鲁米儿,水,治疗,10,形状10,二格形状,2,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_026,猎狼,无,机动,11,形状11,二格形状,2,默认向右,3,无,无,无,1,召唤,buffAllSummons,"mech_steal_reward,mech_pierce_shield",无机制,正式,新19形状；所有作用格默认结算3次。二格，左上与右下对角。
pal_027,炸蛋鸟,无,机动,12,形状12,二格形状,2,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_028,波娜兔,草,治疗,13,形状13,三格形状,3,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧相邻竖三格。
pal_029,波霸牛,无,经济,14,形状14,三格形状,3,默认向右,3,无,无,无,1,召唤,buffAllSummons,"mech_aura,mech_curse",无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧近点加远端上下。
pal_030,荆棘魔仙,草,治疗,13,形状13,三格形状,3,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧相邻竖三格。
pal_031,鲨小子,水,治疗,12,形状12,二格形状,2,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_grow_shield,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_032,吊缚灵,地,坦克,12,形状12,二格形状,2,默认向右,3,地,地,地,1,阻挡,castleReduce,mech_damage_cap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_033,叶胖达,草,坦克,09,形状09,二格形状,2,默认向右,3,草,草,草,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_034,棉花糖,无,经济,02,形状02,一格形状,1,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_035,灌木羊,草,召唤,04,形状04,一格形状,1,默认向右,3,草,草,草,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_036,美露帕,无,经济,04,形状04,一格形状,1,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_037,紫霞鹿,无,机动,04,形状04,一格形状,1,默认向右,3,无,无,无,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_038,疾风隼,无,机动,03,形状03,一格形状,1,默认向右,3,无,无,无,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_039,姬小兔,无,坦克,01,形状01,一格形状,1,默认向右,3,无,无,无,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_040,炎魔羊,火,输出,05,形状05,二格形状,2,默认向右,3,火,暗,火,1,输出,castleReduce,mech_counter,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_041,幻悦蝶,草,治疗,03,形状03,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_042,炽焰牛,火,输出,01,形状01,一格形状,1,默认向右,3,火,火,火,1,输出,castleReduce,mech_self_destruct,自爆倒计时,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_043,趴趴鲶,地,治疗,01,形状01,一格形状,1,默认向右,3,地,地,地,1,场地,healAmpBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_044,黑鸦隐士,暗,坦克,01,形状01,一格形状,1,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_045,朋克蜥,暗,坦克,04,形状04,一格形状,1,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_046,月镰魔,暗,坦克,05,形状05,二格形状,2,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_counter,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_047,天擒鸟,无,机动,01,形状01,一格形状,1,默认向右,3,无,无,无,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_048,羽箭射手,草,治疗,02,形状02,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_049,铁拳猿,无,坦克,04,形状04,一格形状,1,默认向右,3,无,无,无,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_050,骑士蜂,草,召唤,09,形状09,二格形状,2,默认向右,3,草,草,草,1,召唤,summonFromCell,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_051,女皇蜂,草,治疗,04,形状04,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_052,笑魇猫,无,机动,03,形状03,一格形状,1,默认向右,3,无,无,无,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_053,毛掸儿,冰,控制,03,形状03,一格形状,1,默认向右,3,冰,冰,冰,1,牵制,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_054,毛老爹,冰,控制,04,形状04,一格形状,1,默认向右,3,冰,冰,冰,1,牵制,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_055,疾旋鼬,冰,控制,07,形状07,二格形状,2,默认向右,3,冰,龙,冰,1,牵制,healAmpBonus,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右隔点。
pal_056,雷角马,雷,控制,02,形状02,一格形状,1,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_057,吹雪狐,冰,控制,03,形状03,一格形状,1,默认向右,3,冰,冰,冰,1,牵制,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_058,火麒麟,火,输出,04,形状04,一格形状,1,默认向右,3,火,火,火,1,输出,castleReduce,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_059,严冬鹿,冰,控制,01,形状01,一格形状,1,默认向右,3,冰,冰,冰,1,牵制,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_060,霹雳犬,雷,控制,01,形状01,一格形状,1,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_061,苍焰狼,火,输出,10,形状10,二格形状,2,默认向右,3,火,火,火,1,输出,castleReduce,mech_grow_attack,无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_062,雷鸣童子,雷,控制,03,形状03,一格形状,1,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_063,秘斯媞雅,无,召唤,01,形状01,一格形状,1,默认向右,3,无,无,无,1,召唤,summonFromCell,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_064,花冠龙,草,召唤,12,形状12,二格形状,2,默认向右,3,草,龙,草,1,召唤,summonFromCell,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_065,雷冠龙,雷,控制,06,形状06,二格形状,2,默认向右,3,雷,龙,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_066,滑水蛇,水,治疗,02,形状02,一格形状,1,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_067,流沙蛇,地,坦克,10,形状10,二格形状,2,默认向右,3,地,地,地,1,阻挡,castleReduce,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_068,噬魂兽,暗,坦克,09,形状09,二格形状,2,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_break_castle,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_069,碎岩龟,地,坦克,12,形状12,二格形状,2,默认向右,3,地,地,地,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_070,猫蝠怪,暗,坦克,10,形状10,二格形状,2,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_071,博爱蜥,无,治疗,02,形状02,一格形状,1,默认向右,3,无,无,无,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_072,融焰娘,火,召唤,03,形状03,一格形状,1,默认向右,3,火,火,火,1,召唤,summonFromCell,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_073,烽歌龙,火,机动,10,形状10,二格形状,2,默认向右,3,火,暗,火,1,牵制,advHitBonus,"mech_break_castle,mech_multi_hit",无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_074,霜歌龙,冰,控制,12,形状12,二格形状,2,默认向右,3,冰,暗,冰,1,牵制,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_075,浪刃武士,火,输出,03,形状03,一格形状,1,默认向右,3,火,火,火,1,输出,castleReduce,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_076,迅雷鸟,雷,控制,17,形状17,三格形状,3,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。三格，上下夹身加右侧相邻。
pal_077,燧火鸟,火,机动,06,形状06,二格形状,2,默认向右,3,火,火,火,1,牵制,advHitBonus,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_078,暗巫猫,暗,治疗,03,形状03,一格形状,1,默认向右,3,暗,暗,暗,1,场地,healAmpBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_079,焰巫狐,火,输出,09,形状09,二格形状,2,默认向右,3,火,火,火,1,输出,castleReduce,mech_grow_attack,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_080,踏春兔,草,治疗,02,形状02,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_081,薇莉塔,草,治疗,03,形状03,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_082,绸笠蛾,冰,治疗,04,形状04,一格形状,1,默认向右,3,冰,冰,冰,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_083,精灵龙,龙,召唤,05,形状05,二格形状,2,默认向右,3,龙,龙,龙,1,召唤,summonFromCell,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_084,水灵龙,龙,治疗,12,形状12,二格形状,2,默认向右,3,龙,水,龙,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_085,水灵儿,水,治疗,03,形状03,一格形状,1,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_086,火灵儿,火,输出,01,形状01,一格形状,1,默认向右,3,火,火,火,1,输出,castleReduce,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_087,碧海龙,水,治疗,11,形状11,二格形状,2,默认向右,3,水,龙,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左上与右下对角。
pal_088,冰棘兽,冰,坦克,07,形状07,二格形状,2,默认向右,3,冰,冰,冰,1,阻挡,castleReduce,mech_opening_shield,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右隔点。
pal_089,狱焰王,火,输出,13,形状13,三格形状,3,默认向右,3,火,火,火,1,输出,castleReduce,"mech_multi_hit,mech_armor_break",无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧相邻竖三格。
pal_090,狱阎王,火,输出,17,形状17,三格形状,3,默认向右,3,火,暗,火,1,输出,castleReduce,"mech_damage_cap,mech_summon,mech_aura",无机制,正式,新19形状；所有作用格默认结算3次。三格，上下夹身加右侧相邻。
pal_091,佩克龙,龙,坦克,16,形状16,三格形状,3,默认向右,3,龙,水,龙,1,阻挡,castleReduce,mech_revive,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点竖三格。
pal_092,派克龙,龙,控制,08,形状08,二格形状,2,默认向右,3,龙,雷,龙,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧远端连续两格。
pal_093,连理龙,草,召唤,06,形状06,二格形状,2,默认向右,3,草,草,草,1,召唤,summonFromCell,mech_summon,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_094,海誓龙,草,治疗,11,形状11,二格形状,2,默认向右,3,草,水,草,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左上与右下对角。
pal_095,花丽娜,草,治疗,04,形状04,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_096,熔岩兽,火,坦克,19,形状19,三格形状,3,默认向右,3,火,地,火,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点右上小角。
pal_097,寒霜兽,冰,坦克,16,形状16,三格形状,3,默认向右,3,冰,地,冰,1,阻挡,castleReduce,mech_damage_cap,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点竖三格。
pal_098,君王美露帕,无,经济,06,形状06,二格形状,2,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_aura,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_099,冰帝美露帕,冰,坦克,03,形状03,一格形状,1,默认向右,3,冰,冰,冰,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_100,森猛犸,草,坦克,17,形状17,三格形状,3,默认向右,3,草,草,草,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。三格，上下夹身加右侧相邻。
pal_101,雪猛犸,冰,坦克,17,形状17,三格形状,3,默认向右,3,冰,冰,冰,1,阻挡,castleReduce,"mech_shield_regen,mech_pierce_shield",无机制,正式,新19形状；所有作用格默认结算3次。三格，上下夹身加右侧相邻。
pal_102,白绒雪怪,冰,坦克,02,形状02,一格形状,1,默认向右,3,冰,冰,冰,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_103,绿苔绒怪,草,坦克,03,形状03,一格形状,1,默认向右,3,草,草,草,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_104,铠格力斯,地,坦克,04,形状04,一格形状,1,默认向右,3,地,草,地,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_105,云海鹿,无,机动,02,形状02,一格形状,1,默认向右,3,无,无,无,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_106,夜幕魔蝠,暗,坦克,18,形状18,三格形状,3,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,"mech_summon,mech_revive",无机制,正式,新19形状；所有作用格默认结算3次。三格，右上小角。
pal_107,天羽龙,龙,机动,14,形状14,三格形状,3,默认向右,3,龙,龙,龙,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧近点加远端上下。
pal_108,焰煌,火,输出,18,形状18,三格形状,3,默认向右,3,火,火,火,1,输出,castleReduce,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。三格，右上小角。
pal_109,雷冥鸟,暗,机动,02,形状02,一格形状,1,默认向右,3,暗,暗,暗,1,牵制,advHitBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_110,魔渊龙,龙,坦克,15,形状15,三格形状,3,默认向右,3,龙,暗,龙,1,阻挡,castleReduce,"mech_firm_threshold,mech_curse",无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧连续三格。
pal_111,冥铠蝎,暗,坦克,02,形状02,一格形状,1,默认向右,3,暗,地,暗,1,阻挡,castleReduce,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_112,阿努比斯,地,输出,03,形状03,一格形状,1,默认向右,3,地,地,地,1,输出,spaceExplosionBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_113,覆海龙,龙,治疗,05,形状05,二格形状,2,默认向右,3,龙,水,龙,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_114,腾炎龙,龙,输出,13,形状13,三格形状,3,默认向右,3,龙,火,龙,1,输出,spaceExplosionBonus,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧相邻竖三格。
pal_115,朱雀,火,机动,01,形状01,一格形状,1,默认向右,3,火,火,火,1,牵制,advHitBonus,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_116,清雀,水,治疗,02,形状02,一格形状,1,默认向右,3,水,水,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_117,暴电熊,雷,控制,02,形状02,一格形状,1,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_118,百合女王,草,治疗,04,形状04,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_119,黑月女王,暗,治疗,01,形状01,一格形状,1,默认向右,3,暗,暗,暗,1,场地,healAmpBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_120,荷鲁斯,火,机动,01,形状01,一格形状,1,默认向右,3,火,火,火,1,牵制,advHitBonus,mech_fire_ignite_bonus,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_121,波鲁杰克斯,龙,控制,11,形状11,二格形状,2,默认向右,3,龙,雷,龙,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左上与右下对角。
pal_122,异构格里芬,暗,机动,03,形状03,一格形状,1,默认向右,3,暗,暗,暗,1,牵制,advHitBonus,mech_shield_flat,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_123,圣光骑士,无,坦克,19,形状19,三格形状,3,默认向右,3,无,无,无,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点右上小角。
pal_124,混沌骑士,暗,坦克,19,形状19,三格形状,3,默认向右,3,暗,暗,暗,1,阻挡,castleReduce,"mech_zone_pressure,mech_revive,mech_break_castle",无机制,正式,新19形状；所有作用格默认结算3次。三格，隔点右上小角。
pal_125,唤冬兽,冰,控制,07,形状07,二格形状,2,默认向右,3,冰,冰,冰,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右隔点。
pal_126,唤夜兽,暗,控制,08,形状08,二格形状,2,默认向右,3,暗,暗,暗,1,牵制,healAmpBonus,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧远端连续两格。
pal_127,空涡龙,龙,机动,08,形状08,二格形状,2,默认向右,3,龙,龙,龙,1,牵制,advHitBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧远端连续两格。
