effect_id,item_id,quality,item_skill_id,priority,trigger_event,condition_type,condition_tags,condition_source_relation,target_type,operation_type,amount,status,ticks,catalog_status
effect_tidefin_launcher_gold_ready,item_tidefin_launcher,gold,skill_tidefin_launcher,20,item_ready,always,,any,selected_enemy,deal_damage,4,,,formal
effect_tidefin_launcher_gold_response,item_tidefin_launcher,gold,skill_tidefin_launcher,30,another_friendly_item_used,source_item_has_any_tag,aquatic,any,self_item,reload,1,,,formal
effect_tidefin_launcher_diamond_ready,item_tidefin_launcher,diamond,skill_tidefin_launcher,20,item_ready,always,,any,selected_enemy,deal_damage,6,,,formal
effect_tidefin_launcher_diamond_response,item_tidefin_launcher,diamond,skill_tidefin_launcher,30,another_friendly_item_used,source_item_has_any_tag,aquatic,any,self_item,reload,2,,,formal
effect_mistkelp_remedy_kit_bronze_heal,item_mistkelp_remedy_kit,bronze,skill_mistkelp_remedy_kit,20,item_ready,always,,any,owner_hero,heal,5,,,formal
effect_mistkelp_remedy_kit_silver_heal,item_mistkelp_remedy_kit,silver,skill_mistkelp_remedy_kit,20,item_ready,always,,any,owner_hero,heal,7,,,formal
effect_mistkelp_remedy_kit_gold_heal,item_mistkelp_remedy_kit,gold,skill_mistkelp_remedy_kit,20,item_ready,always,,any,owner_hero,heal,10,,,formal
effect_mistkelp_remedy_kit_diamond_heal,item_mistkelp_remedy_kit,diamond,skill_mistkelp_remedy_kit,20,item_ready,always,,any,owner_hero,heal,14,,,formal
effect_tidefold_bulwark_bronze_shield,item_tidefold_bulwark,bronze,skill_tidefold_bulwark,20,item_ready,always,,any,owner_hero,gain_shield,6,,,formal
effect_tidefold_bulwark_silver_shield,item_tidefold_bulwark,silver,skill_tidefold_bulwark,20,item_ready,always,,any,owner_hero,gain_shield,9,,,formal
effect_tidefold_bulwark_gold_shield,item_tidefold_bulwark,gold,skill_tidefold_bulwark,20,item_ready,always,,any,owner_hero,gain_shield,13,,,formal
effect_tidefold_bulwark_diamond_shield,item_tidefold_bulwark,diamond,skill_tidefold_bulwark,20,item_ready,always,,any,owner_hero,gain_shield,18,,,formal
effect_homeglow_beacon_bronze_heal,item_homeglow_beacon,bronze,skill_homeglow_beacon,20,item_ready,always,,any,owner_hero,heal,3,,,formal
effect_homeglow_beacon_bronze_shield,item_homeglow_beacon,bronze,skill_homeglow_beacon,21,item_ready,always,,any,owner_hero,gain_shield,4,,,formal
effect_homeglow_beacon_silver_heal,item_homeglow_beacon,silver,skill_homeglow_beacon,20,item_ready,always,,any,owner_hero,heal,4,,,formal
effect_homeglow_beacon_silver_shield,item_homeglow_beacon,silver,skill_homeglow_beacon,21,item_ready,always,,any,owner_hero,gain_shield,6,,,formal
effect_homeglow_beacon_gold_heal,item_homeglow_beacon,gold,skill_homeglow_beacon,20,item_ready,always,,any,owner_hero,heal,6,,,formal
effect_homeglow_beacon_gold_shield,item_homeglow_beacon,gold,skill_homeglow_beacon,21,item_ready,always,,any,owner_hero,gain_shield,9,,,formal
effect_homeglow_beacon_diamond_heal,item_homeglow_beacon,diamond,skill_homeglow_beacon,20,item_ready,always,,any,owner_hero,heal,8,,,formal
effect_homeglow_beacon_diamond_shield,item_homeglow_beacon,diamond,skill_homeglow_beacon,21,item_ready,always,,any,owner_hero,gain_shield,12,,,formal
effect_tidescar_matchlock_bronze_ready,item_tidescar_matchlock,bronze,skill_tidescar_matchlock,20,item_ready,always,,any,selected_enemy,deal_damage,4,,,formal
effect_tidescar_matchlock_bronze_growth,item_tidescar_matchlock,bronze,skill_tidescar_matchlock,30,another_friendly_item_used,source_item_has_any_tag,ammo,any,self_item,gain_damage_for_fight,2,,,formal
effect_tidescar_matchlock_silver_ready,item_tidescar_matchlock,silver,skill_tidescar_matchlock,20,item_ready,always,,any,selected_enemy,deal_damage,7,,,formal
effect_tidescar_matchlock_silver_growth,item_tidescar_matchlock,silver,skill_tidescar_matchlock,30,another_friendly_item_used,source_item_has_any_tag,ammo,any,self_item,gain_damage_for_fight,3,,,formal
effect_tidescar_matchlock_gold_ready,item_tidescar_matchlock,gold,skill_tidescar_matchlock,20,item_ready,always,,any,selected_enemy,deal_damage,11,,,formal
effect_tidescar_matchlock_gold_growth,item_tidescar_matchlock,gold,skill_tidescar_matchlock,30,another_friendly_item_used,source_item_has_any_tag,ammo,any,self_item,gain_damage_for_fight,4,,,formal
effect_tidescar_matchlock_diamond_ready,item_tidescar_matchlock,diamond,skill_tidescar_matchlock,20,item_ready,always,,any,selected_enemy,deal_damage,16,,,formal
effect_tidescar_matchlock_diamond_growth,item_tidescar_matchlock,diamond,skill_tidescar_matchlock,30,another_friendly_item_used,source_item_has_any_tag,ammo,any,self_item,gain_damage_for_fight,6,,,formal
effect_mistline_ratchet_bronze_ready,item_mistline_ratchet,bronze,skill_mistline_ratchet,20,item_ready,always,,any,selected_enemy,deal_damage,3,,,formal
effect_mistline_ratchet_bronze_response,item_mistline_ratchet,bronze,skill_mistline_ratchet,30,another_friendly_item_used,source_item_has_any_tag,ammo,adjacent,self_item,charge,,,1,formal
effect_mistline_ratchet_silver_ready,item_mistline_ratchet,silver,skill_mistline_ratchet,20,item_ready,always,,any,selected_enemy,deal_damage,5,,,formal
effect_mistline_ratchet_silver_response,item_mistline_ratchet,silver,skill_mistline_ratchet,30,another_friendly_item_used,source_item_has_any_tag,ammo,adjacent,self_item,charge,,,1,formal
effect_mistline_ratchet_gold_ready,item_mistline_ratchet,gold,skill_mistline_ratchet,20,item_ready,always,,any,selected_enemy,deal_damage,8,,,formal
effect_mistline_ratchet_gold_response,item_mistline_ratchet,gold,skill_mistline_ratchet,30,another_friendly_item_used,source_item_has_any_tag,ammo,adjacent,self_item,charge,,,2,formal
effect_mistline_ratchet_diamond_ready,item_mistline_ratchet,diamond,skill_mistline_ratchet,20,item_ready,always,,any,selected_enemy,deal_damage,12,,,formal
effect_mistline_ratchet_diamond_response,item_mistline_ratchet,diamond,skill_mistline_ratchet,30,another_friendly_item_used,source_item_has_any_tag,ammo,adjacent,self_item,charge,,,2,formal
effect_quadrant_linkage_bronze_ready,item_quadrant_linkage,bronze,skill_quadrant_linkage,20,item_ready,always,,any,selected_enemy,deal_damage,2,,,formal
effect_quadrant_linkage_bronze_left_adjacent,item_quadrant_linkage,bronze,skill_quadrant_linkage,30,item_ready,always,,any,left_adjacent_item,charge,,,1,formal
effect_quadrant_linkage_bronze_right_adjacent,item_quadrant_linkage,bronze,skill_quadrant_linkage,31,item_ready,always,,any,right_adjacent_item,charge,,,1,formal
effect_quadrant_linkage_bronze_leftmost,item_quadrant_linkage,bronze,skill_quadrant_linkage,32,item_ready,always,,any,leftmost_friendly_item,charge,,,1,formal
effect_quadrant_linkage_bronze_rightmost,item_quadrant_linkage,bronze,skill_quadrant_linkage,33,item_ready,always,,any,rightmost_friendly_item,charge,,,1,formal
effect_quadrant_linkage_silver_ready,item_quadrant_linkage,silver,skill_quadrant_linkage,20,item_ready,always,,any,selected_enemy,deal_damage,3,,,formal
effect_quadrant_linkage_silver_left_adjacent,item_quadrant_linkage,silver,skill_quadrant_linkage,30,item_ready,always,,any,left_adjacent_item,charge,,,1,formal
effect_quadrant_linkage_silver_right_adjacent,item_quadrant_linkage,silver,skill_quadrant_linkage,31,item_ready,always,,any,right_adjacent_item,charge,,,1,formal
effect_quadrant_linkage_silver_leftmost,item_quadrant_linkage,silver,skill_quadrant_linkage,32,item_ready,always,,any,leftmost_friendly_item,charge,,,2,formal
effect_quadrant_linkage_silver_rightmost,item_quadrant_linkage,silver,skill_quadrant_linkage,33,item_ready,always,,any,rightmost_friendly_item,charge,,,2,formal
effect_quadrant_linkage_gold_ready,item_quadrant_linkage,gold,skill_quadrant_linkage,20,item_ready,always,,any,selected_enemy,deal_damage,5,,,formal
effect_quadrant_linkage_gold_left_adjacent,item_quadrant_linkage,gold,skill_quadrant_linkage,30,item_ready,always,,any,left_adjacent_item,charge,,,2,formal
effect_quadrant_linkage_gold_right_adjacent,item_quadrant_linkage,gold,skill_quadrant_linkage,31,item_ready,always,,any,right_adjacent_item,charge,,,2,formal
effect_quadrant_linkage_gold_leftmost,item_quadrant_linkage,gold,skill_quadrant_linkage,32,item_ready,always,,any,leftmost_friendly_item,charge,,,2,formal
effect_quadrant_linkage_gold_rightmost,item_quadrant_linkage,gold,skill_quadrant_linkage,33,item_ready,always,,any,rightmost_friendly_item,charge,,,2,formal
effect_quadrant_linkage_diamond_ready,item_quadrant_linkage,diamond,skill_quadrant_linkage,20,item_ready,always,,any,selected_enemy,deal_damage,7,,,formal
effect_quadrant_linkage_diamond_left_adjacent,item_quadrant_linkage,diamond,skill_quadrant_linkage,30,item_ready,always,,any,left_adjacent_item,charge,,,2,formal
effect_quadrant_linkage_diamond_right_adjacent,item_quadrant_linkage,diamond,skill_quadrant_linkage,31,item_ready,always,,any,right_adjacent_item,charge,,,2,formal
effect_quadrant_linkage_diamond_leftmost,item_quadrant_linkage,diamond,skill_quadrant_linkage,32,item_ready,always,,any,leftmost_friendly_item,charge,,,3,formal
effect_quadrant_linkage_diamond_rightmost,item_quadrant_linkage,diamond,skill_quadrant_linkage,33,item_ready,always,,any,rightmost_friendly_item,charge,,,3,formal
