宠物ID,名称(自动),元素(自动),品质(自动),定位(自动),标签(自动),商品类型,商店状态,解锁日,池档,默认价,价格覆盖,夜市权重,元素店权重,定位店权重,品质店权重,奖励权重,商店池(自动),奖励池(自动),出现条件,备注
pal_011,冰背獭,草,黄金,控制,草、龙、控制、水、冰、治疗、水系牵制、后排、增益,宠物,启用,4,pT3,6,6,65,100,90,100,40,"night_base, elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_火系压制",reward_pT1,,来源对象 bz_van_011；主附魔 Toxic；真实来源地点数 10
pal_012,电棘鼠,火,黄金,输出,火、雷、输出、控制、风、风系牵制、牵制、范围、机动,宠物,启用,4,pT3,6,6,65,100,90,100,40,"night_base, elem_火, elem_雷, role_输出, tier_pT3",reward_pT1,,来源对象 bz_van_012；主附魔 Fiery；真实来源地点数 10
pal_013,苔甲龟,雷,青铜,控制,雷、控制、草、地、坦克、土、重甲抗压、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_机动, special_merchant, role_召唤铺场",reward_pT1,,来源对象 bz_van_013；主附魔 Icy；真实来源地点数 10
pal_014,金钱狸,火,白银,经济,火、经济、机动、无、风、风系铺场、召唤、发育,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_火, role_经济, tier_pT2",reward_pT1,,来源对象 bz_van_014；主附魔 Fiery；真实来源地点数 10
pal_015,黑甲猪,水,白银,输出,水、输出、暗、坦克、土、重甲抗压、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_火, elem_雷, elem_地, elem_暗, role_召唤, role_坦克, role_控制, role_治疗, role_经济",reward_pT1,,来源对象 bz_van_015；主附魔 Deadly；真实来源地点数 10
pal_016,涧水象,雷,青铜,召唤,雷、龙、召唤、水、治疗、水系控场、后排、增益,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, tier_pT1, role_机动压制",reward_pT1,,来源对象 bz_van_016；主附魔 Deadly；真实来源地点数 10
pal_017,黑角犀,火,青铜,坦克,火、雷、坦克、输出、暗、土、重甲抗压、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, role_坦克, tier_pT1",reward_pT1,,来源对象 bz_van_017；主附魔 Fiery；真实来源地点数 10
pal_018,竹囊鼠,雷,黄金,机动,雷、机动、无、经济、风、风系铺场、召唤、发育,宠物,启用,4,pT3,6,6,65,100,90,100,40,"night_base, elem_水, elem_雷, elem_地, elem_暗, role_坦克, role_控制, role_治疗, elite_high, role_风系铺场",reward_pT1,,来源对象 bz_van_018；主附魔 Turbo；真实来源地点数 10
pal_019,夜穴鼹,暗,白银,输出,暗、火、输出、雷、坦克、土、重甲抗压、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_火, elem_暗, role_输出, tier_pT2",reward_pT1,,来源对象 bz_van_019；主附魔 Deadly；真实来源地点数 10
pal_020,沙鬃猪,水,白银,机动,水、雷、机动、地、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_水, elem_雷, elem_冰, elem_地, role_坦克, role_控制, role_输出, role_机动, special_merchant, elite_high",reward_pT1,,来源对象 bz_van_020；主附魔 Turbo；真实来源地点数 10
pal_021,暮羽鸦,水,白银,机动,水、龙、机动、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_水, elem_雷, elem_冰, elem_无, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_远点压制",reward_pT1,,来源对象 bz_van_021；主附魔 Turbo；真实来源地点数 10
pal_022,岩爪鼹,龙,白银,机动,龙、机动、地、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_水, elem_雷, elem_冰, elem_暗, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济",reward_pT1,,来源对象 bz_van_022；主附魔 Turbo；真实来源地点数 10
pal_023,墨潭鲵,草,青铜,控制,草、水、控制、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_火, elem_雷, elem_冰, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_机动压制, role_火系压制",reward_pT1,,来源对象 bz_van_023；主附魔 Toxic；真实来源地点数 10
pal_024,幽纹猫,火,白银,控制,火、控制、暗、经济、土、土系抗压、召唤、发育,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_水, elem_雷, role_坦克, role_控制, special_merchant, elite_high, tier_pT2, role_召唤铺场, role_抗压承伤",reward_pT1,,来源对象 bz_van_024；主附魔 Fiery；真实来源地点数 10
pal_025,泉须鲶,草,青铜,经济,草、水、经济、治疗、水系牵制、后排、增益,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_输出, tier_pT1, tier_pT3",reward_pT1,,来源对象 bz_van_025；主附魔 Golden；真实来源地点数 10
pal_026,疾风狼,水,白银,控制,水、控制、无、机动、风、抗压承伤、灵活、泛用,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_输出, special_merchant, role_召唤铺场",reward_pT1,,来源对象 bz_van_026；主附魔 Icy；真实来源地点数 10
pal_027,惊羽雀,地,青铜,机动,地、机动、无、风、机动压制、灵活、泛用,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, special_merchant, elite_high",reward_pT1,,来源对象 bz_van_027；主附魔 Turbo；真实来源地点数 10
pal_028,药草兔,水,青铜,治疗,水、龙、治疗、草、风、风系铺场、后排、增益,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_输出",reward_pT1,,来源对象 bz_van_028；主附魔 Restorative；真实来源地点数 10
pal_029,黄背牛,水,青铜,坦克,水、地、坦克、无、经济、风、诅咒牵制、召唤、发育,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_水, elem_雷, elem_冰, elem_龙, elem_无, role_坦克, role_控制, role_输出, tier_pT3, role_重甲抗压",reward_pT1,,来源对象 bz_van_029；主附魔 Shielded；真实来源地点数 10
pal_030,花刺蛛,水,青铜,坦克,水、地、坦克、草、治疗、风、风系铺场、后排、增益,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_水, elem_雷, elem_冰, elem_地, elem_暗, role_坦克, role_控制, role_输出, tier_pT3, role_风系铺场",reward_pT1,,来源对象 bz_van_030；主附魔 Shielded；真实来源地点数 10
pal_031,青背鲵,水,白银,治疗,水、雷、治疗、抗压承伤、后排、增益,宠物,启用,4,pT2,4,4,85,100,90,100,50,elite_high,reward_pT1,,来源对象 bz_van_031；主附魔 Icy；真实来源地点数 1
pal_032,石甲鲮,雷,白银,机动,雷、机动、地、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, tier_pT1, role_抗压承伤",reward_pT1,,来源对象 bz_van_032；主附魔 Turbo；真实来源地点数 10
pal_033,芭蕉熊,雷,青铜,控制,雷、控制、草、坦克、风、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_治疗, tier_pT1, role_召唤铺场",reward_pT1,,来源对象 bz_van_033；主附魔 Icy；真实来源地点数 10
pal_034,蜜纹獾,雷,白银,输出,雷、输出、无、经济、风、远点压制、召唤、发育,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_治疗, tier_pT1, role_抗压承伤",reward_pT1,,来源对象 bz_van_034；主附魔 Deadly；真实来源地点数 10
pal_035,藤巢蜂,水,黄金,控制,水、雷、控制、草、召唤、风、召唤铺场、成长、核心,宠物,启用,4,pT3,6,6,65,100,90,100,40,"elem_水, elem_雷, elem_冰, elem_地, elem_暗, role_坦克, role_控制, role_治疗, role_输出, role_风系铺场",reward_pT1,,来源对象 bz_van_035；主附魔 Turbo；真实来源地点数 10
pal_036,云纹巨驼,火,白银,控制,火、水、控制、无、经济、风、远点压制、召唤、发育,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, role_坦克, role_控制, role_输出, special_merchant, tier_pT2, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_036；主附魔 Fiery；真实来源地点数 10
pal_037,月角白鹿,草,白银,控制,草、控制、无、机动、风、机动压制、灵活、泛用,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_雷, elem_地, role_坦克, role_控制, special_merchant, role_召唤铺场, role_抗压承伤, role_火系压制",reward_pT2,,来源对象 bz_van_037；主附魔 Icy；真实来源地点数 10
pal_038,疾风苍鹰,雷,白银,机动,雷、机动、无、风、机动压制、灵活、泛用,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_重甲抗压",reward_pT2,,来源对象 bz_van_038；主附魔 Turbo；真实来源地点数 10
pal_039,银背巨兔,水,白银,机动,水、雷、机动、无、坦克、风、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, role_坦克, role_控制, role_输出, role_机动, special_merchant, elite_high, role_重甲抗压",reward_pT2,,来源对象 bz_van_039；主附魔 Turbo；真实来源地点数 10
pal_040,炎角黑羊,水,黄金,坦克,水、雷、坦克、火、暗、输出、火系压制、爆发、前排,宠物,启用,4,pT3,6,6,65,70,65,80,40,"elem_水, elem_雷, elem_冰, elem_无, role_坦克, role_控制, role_输出, tier_pT3, role_重甲抗压, role_远点压制",reward_pT2,,来源对象 bz_van_040；主附魔 Turbo；真实来源地点数 10
pal_041,回春彩蝶,水,白银,控制,水、控制、草、治疗、风、远点压制、后排、增益,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, elem_无, role_坦克, role_控制, role_输出, special_merchant, role_召唤铺场, role_远点压制",reward_pT2,,来源对象 bz_van_041；主附魔 Icy；真实来源地点数 10
pal_042,赤焰蛮牛,雷,青铜,输出,雷、输出、火、火系压制、爆发、前排,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_机动",reward_pT2,,来源对象 bz_van_042；主附魔 Deadly；真实来源地点数 10
pal_043,泥甲巨鲶,水,黄金,控制,水、雷、控制、地、治疗、土、土系抗压、后排、增益,宠物,启用,4,pT3,6,6,65,70,65,80,40,"night_base, elem_水, elem_雷, elem_地, role_坦克, role_控制, role_输出, special_merchant, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_043；主附魔 Icy；真实来源地点数 10
pal_044,夜羽巨鸦,火,白银,控制,火、冰、控制、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, role_坦克, role_输出, role_机动, tier_pT2, role_抗压承伤, role_风系牵制, role_火系压制",reward_pT2,,来源对象 bz_van_044；主附魔 Fiery；真实来源地点数 10
pal_045,墨鳞巨蜥,水,白银,机动,水、龙、机动、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_输出, special_merchant",reward_pT2,,来源对象 bz_van_045；主附魔 Turbo；真实来源地点数 10
pal_046,月镰螳螂,水,青铜,控制,水、控制、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_水, elem_雷, elem_冰, elem_无, role_坦克, role_控制, role_输出, special_merchant, role_召唤铺场, role_远点压制",reward_pT2,,来源对象 bz_van_046；主附魔 Icy；真实来源地点数 10
pal_047,裂空苍鹰,水,青铜,机动,水、机动、无、风、机动压制、灵活、泛用,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_水, elem_雷, elem_冰, elem_无, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_远点压制",reward_pT2,,来源对象 bz_van_047；主附魔 Turbo；真实来源地点数 10
pal_048,木刺豪猪,水,白银,召唤,水、雷、召唤、草、治疗、风、远点压制、后排、增益,宠物,启用,4,pT2,4,4,85,70,65,80,50,elite_high,reward_pT2,,来源对象 bz_van_048；主附魔 Deadly；真实来源地点数 1
pal_049,铁臂黑猿,水,青铜,机动,水、龙、机动、无、坦克、风、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_草, elem_雷, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_机动压制",reward_pT2,,来源对象 bz_van_049；主附魔 Turbo；真实来源地点数 10
pal_050,金甲蜂群,雷,青铜,输出,雷、输出、草、召唤、风、召唤铺场、成长、核心,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_机动",reward_pT2,,来源对象 bz_van_050；主附魔 Deadly；真实来源地点数 10
pal_051,百花巨蜂,暗,青铜,控制,暗、控制、草、治疗、风、远点压制、后排、增益,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, special_merchant, role_召唤铺场, role_远点压制",reward_pT2,,来源对象 bz_van_051；主附魔 Icy；真实来源地点数 10
pal_052,笑面山猫,雷,青铜,输出,雷、输出、无、机动、风、机动压制、灵活、泛用,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_机动",reward_pT2,,来源对象 bz_van_052；主附魔 Deadly；真实来源地点数 10
pal_053,霜尾雪貂,无,青铜,输出,无、输出、冰、控制、水、水系牵制、牵制、范围、机动,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, elem_地, elem_暗, role_召唤, role_坦克, role_控制, role_治疗, role_经济",reward_pT2,,来源对象 bz_van_053；主附魔 Deadly；真实来源地点数 10
pal_054,白眉雪猿,水,白银,控制,水、雷、控制、冰、水系牵制、牵制、范围、机动,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_输出, role_机动",reward_pT2,,来源对象 bz_van_054；主附魔 Obsidian；真实来源地点数 10
pal_055,寒风幼螭,火,白银,机动,火、机动、冰、龙、控制、水、召唤铺场、牵制、范围,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, special_merchant, elite_high, role_重甲抗压",reward_pT2,,来源对象 bz_van_055；主附魔 Turbo；真实来源地点数 10
pal_056,震角雷牛,无,青铜,输出,无、输出、雷、控制、风、风系牵制、牵制、范围、机动,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_远点压制",reward_pT2,,来源对象 bz_van_056；主附魔 Deadly；真实来源地点数 10
pal_057,吹雪银狐,冰,白银,控制,冰、控制、水、水系牵制、牵制、范围、机动,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_远点压制, role_风系牵制",reward_pT2,,来源对象 bz_van_057；主附魔 Icy；真实来源地点数 10
pal_058,丹角火麟,冰,钻石,控制,冰、水、控制、火、输出、火系压制、爆发、前排,宠物,启用,6,pT4,8,8,40,70,65,80,25,"elem_水, elem_雷, elem_冰, elem_地, elem_暗, role_控制, role_治疗, role_输出, role_风系铺场, role_风系牵制",reward_pT2,,来源对象 bz_van_058；主附魔 Icy；真实来源地点数 10
pal_059,冰角白鹿,水,青铜,控制,水、龙、控制、冰、水系牵制、牵制、范围、机动,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_火, elem_雷, elem_冰, elem_地, role_坦克, role_控制, role_输出, special_merchant, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_059；主附魔 Icy；真实来源地点数 10
pal_060,霹雳战獒,火,白银,输出,火、输出、雷、控制、风、风系牵制、牵制、范围、机动,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_经济, tier_pT2",reward_pT2,,来源对象 bz_van_060；主附魔 Fiery；真实来源地点数 10
pal_061,苍焰赤豺,雷,白银,控制,雷、控制、火、输出、成长输出、爆发、前排,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, role_坦克, role_控制, special_merchant, tier_pT1, role_召唤铺场, role_抗压承伤, role_重甲抗压",reward_pT2,,来源对象 bz_van_061；主附魔 Icy；真实来源地点数 10
pal_062,雷纹巨猿,雷,白银,机动,雷、机动、控制、风、风系牵制、牵制、范围,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_机动, special_merchant, elite_high",reward_pT2,,来源对象 bz_van_062；主附魔 Turbo；真实来源地点数 10
pal_063,蜃雾白鹿,草,青铜,控制,草、水、控制、无、召唤、风、召唤铺场、成长、核心,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_火, elem_雷, elem_冰, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_机动压制, role_火系压制",reward_pT2,,来源对象 bz_van_063；主附魔 Toxic；真实来源地点数 10
pal_064,翠冠花螭,雷,白银,机动,雷、龙、机动、草、召唤、风、召唤铺场、成长、核心,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_水, elem_草, elem_雷, elem_地, role_坦克, role_控制, role_治疗, role_风系铺场",reward_pT2,,来源对象 bz_van_064；主附魔 Turbo；真实来源地点数 10
pal_065,霆角龙犀,暗,白银,控制,暗、控制、雷、龙、风、风系牵制、牵制、范围、机动,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, special_merchant, role_召唤铺场",reward_pT2,,来源对象 bz_van_065；主附魔 Icy；真实来源地点数 10
pal_066,浪鳞水蛇,地,青铜,输出,地、输出、水、治疗、水系牵制、后排、增益,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_水, elem_雷, elem_暗, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济",reward_pT2,,来源对象 bz_van_066；主附魔 Deadly；真实来源地点数 10
pal_067,沙鳞巨蟒,雷,白银,输出,雷、龙、输出、地、坦克、土、召唤铺场、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, tier_pT1, role_重甲抗压",reward_pT2,,来源对象 bz_van_067；主附魔 Deadly；真实来源地点数 10
pal_068,食梦黑貘,雷,白银,控制,雷、控制、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_雷, elem_地, role_坦克, role_控制, special_merchant, tier_pT1, role_召唤铺场, role_抗压承伤",reward_pT2,,来源对象 bz_van_068；主附魔 Icy；真实来源地点数 10
pal_069,碎岩巨龟,龙,青铜,输出,龙、输出、地、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济",reward_pT2,,来源对象 bz_van_069；主附魔 Deadly；真实来源地点数 10
pal_070,猫翼夜蝠,水,青铜,治疗,水、地、治疗、暗、坦克、土、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_水, elem_雷, elem_冰, elem_龙, elem_无, role_坦克, role_控制, role_输出, tier_pT3",reward_pT2,,来源对象 bz_van_070；主附魔 Restorative；真实来源地点数 10
pal_071,甘露壁虎,火,青铜,输出,火、输出、无、治疗、风、远点压制、后排、增益,宠物,启用,1,pT1,2,2,100,70,65,80,60,"elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_治疗, tier_pT2, role_远点压制",reward_pT2,,来源对象 bz_van_071；主附魔 Fiery；真实来源地点数 10
pal_072,赤巢火蚁,火,黄金,控制,火、水、控制、召唤、召唤铺场、成长、核心,宠物,启用,4,pT3,6,6,65,70,65,80,40,"elem_水, elem_雷, elem_冰, elem_地, role_坦克, role_控制, role_输出, special_merchant, tier_pT2, role_召唤铺场",reward_pT2,,来源对象 bz_van_072；主附魔 Fiery；真实来源地点数 10
pal_073,烽翼火龙,龙,白银,经济,龙、经济、火、暗、机动、火系压制、灵活、泛用,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_经济, role_机动",reward_pT2,,来源对象 bz_van_073；主附魔 Golden；真实来源地点数 10
pal_074,霜翼冥龙,火,青铜,控制,火、水、控制、冰、暗、水系牵制、牵制、范围、机动,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, role_坦克, role_输出, role_机动, special_merchant, tier_pT2, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_074；主附魔 Fiery；真实来源地点数 10
pal_075,赤刃螳螂,水,青铜,机动,水、雷、机动、火、输出、火系压制、爆发、前排,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_水, elem_草, elem_雷, elem_无, role_坦克, role_控制, role_输出, tier_pT1, role_机动压制",reward_pT2,,来源对象 bz_van_075；主附魔 Deadly；真实来源地点数 10
pal_076,迅雷金雕,水,白银,坦克,水、地、坦克、雷、控制、风、风系牵制、牵制、范围、机动,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, role_坦克, role_输出, special_merchant, elite_high, tier_pT3, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_076；主附魔 Icy；真实来源地点数 10
pal_077,燧火黑乌,火,白银,输出,火、雷、输出、机动、火系压制、灵活、泛用,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_治疗, role_机动, tier_pT2",reward_pT2,,来源对象 bz_van_077；主附魔 Fiery；真实来源地点数 10
pal_078,幽泉灵猫,水,青铜,召唤,水、龙、召唤、暗、治疗、土、土系抗压、后排、增益,宠物,启用,1,pT1,2,2,100,70,65,80,60,"night_base, elem_火, elem_雷, elem_地, role_召唤, role_坦克, role_控制, role_治疗, role_输出, role_机动压制",reward_pT2,,来源对象 bz_van_078；主附魔 Deadly；真实来源地点数 10
pal_079,焰尾山狐,雷,白银,坦克,雷、地、坦克、火、输出、成长输出、爆发、前排,宠物,启用,2,pT2,4,4,85,70,65,80,50,"elem_火, elem_雷, elem_冰, elem_地, elem_龙, role_召唤, role_坦克, role_控制, role_机动, tier_pT3",reward_pT2,,来源对象 bz_van_079；主附魔 Shielded；真实来源地点数 10
pal_080,踏春白兔,水,白银,控制,水、龙、控制、草、治疗、风、远点压制、后排、增益,宠物,启用,2,pT2,4,4,85,70,65,80,50,"night_base, elem_火, elem_雷, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_召唤铺场, role_机动压制",reward_pT2,,来源对象 bz_van_080；主附魔 Icy；真实来源地点数 10
