stat_id,name,category,value_type,default_value,min_value,max_value,display_unit,stacking_rule,description
dragon_resist_permille,龙系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对龙属性效果的抗性
healing_power_permille,治疗强度,辅助,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,主动治疗效果的倍率
status_hit_permille,状态命中,辅助,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,施加状态时的命中倍率
status_duration_permille,状态持续,辅助,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,施加状态的持续回合倍率
cooldown_rate_permille,冷却效率,辅助,permille,1000,1,10000,‰,flat_percent_multiplier_override_clamp,技能冷却推进倍率
element_layer_bonus,元素铺层加值,辅助,integer,0,-99,99,层,flat_override_clamp,每次元素效果额外增加的层数
summon_power_permille,召唤强度,辅助,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,召唤物生命攻击与护盾倍率
threat,仇恨,辅助,integer,0,-999999,999999,点,flat_percent_multiplier_override_clamp,目标选择时的威胁修正
action_cost_delta,行动消耗修正,辅助,integer,0,-99,99,点,flat_override_clamp,技能行动点消耗的固定修正
movement_cost_delta,移动消耗修正,辅助,integer,0,-99,99,点,flat_override_clamp,移动行动点消耗的固定修正
