遗物ID,遗物名,类型,品质,触发,机制ID,机制名(自动),参数,关联宠物ID,名称(自动),关联商店池,关联奖励池,解锁日,权重,状态,备注
relic_024,土系诅咒24,诅咒,钻石,战斗结算,none,无机制,{value:1},pal_070,猫蝠怪,role_机动,reward_pT2,3,77,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_025,火系商店券25,商店券,青铜,战斗开始,none,无机制,{value:1},pal_073,烽歌龙,role_治疗,reward_pT3,4,76,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_026,风系遗物26,遗物,白银,攻击后,none,无机制,{value:1},pal_076,迅雷鸟,role_经济,reward_pT1,5,75,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_027,火系祝福27,祝福,黄金,受击后,none,无机制,{value:1},pal_079,焰巫狐,role_输出,reward_pT2,6,74,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_028,水系装备28,装备,钻石,死亡时,none,无机制,{value:1},pal_082,绸笠蛾,tier_pT1,reward_pT3,7,73,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_029,水系诅咒29,诅咒,青铜,商店刷新,none,无机制,{value:1},pal_085,水灵儿,tier_pT2,reward_pT1,1,72,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_030,水系商店券30,商店券,白银,战斗结算,none,无机制,{value:1},pal_088,冰棘兽,tier_pT3,reward_pT2,2,71,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_031,水系遗物31,遗物,黄金,战斗开始,none,无机制,{value:1},pal_091,佩克龙,elem_土,reward_pT3,3,70,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_032,水系祝福32,祝福,钻石,攻击后,mech_counter_damage,受击反伤,{value:1},pal_094,海誓龙,elem_水,reward_pT1,4,69,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_033,水系装备33,装备,青铜,受击后,none,无机制,{value:1},pal_097,寒霜兽,elem_火,reward_pT2,5,68,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_034,风系诅咒34,诅咒,白银,死亡时,none,无机制,{value:1},pal_100,森猛犸,elem_风,reward_pT3,6,67,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_035,风系商店券35,商店券,黄金,商店刷新,none,无机制,{value:1},pal_103,绿苔绒怪,night_base,reward_pT1,7,66,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_036,土系遗物36,遗物,钻石,战斗结算,none,无机制,{value:1},pal_106,夜幕魔蝠,role_召唤,reward_pT2,1,65,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_037,土系祝福37,祝福,青铜,战斗开始,none,无机制,{value:1},pal_109,雷冥鸟,role_坦克,reward_pT3,2,64,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_038,土系装备38,装备,白银,攻击后,none,无机制,{value:1},pal_112,阿努比斯,role_控制,reward_pT1,3,63,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_039,火系诅咒39,诅咒,黄金,受击后,none,无机制,{value:1},pal_115,朱雀,role_机动,reward_pT2,4,62,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_040,风系商店券40,商店券,钻石,死亡时,none,无机制,{value:1},pal_118,百合女王,role_治疗,reward_pT3,5,61,待接入,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
